surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
98	6	6	1	98:6:6:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	6	6	2	98:6:6:2	كِتَٰبِ	كِتَٰب	ك ت ب	ك ت ب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN							
98	6	7	1	98:6:7:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	6	7	2	98:6:7:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	6	7	3	98:6:7:3	مُشْرِكِينَ	مُشْرِك	ش ر ك	ش ر ك	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:mu$orik|ROOT:$rk|MP|GEN			ACT	IV			
98	6	8	1	98:6:8:1	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
98	6	9	1	98:6:9:1	نَارِ	نَار	ن و ر	ن و ر	N	STEM	STEM|POS:N|LEM:naAr|ROOT:nwr|F|GEN							
98	6	10	1	98:6:10:1	جَهَنَّمَ	جَهَنَّم			PN	STEM	STEM|POS:PN|LEM:jahan~am|GEN							
98	6	11	1	98:6:11:1	خَٰلِدِينَ	خَٰلِد	خ ل د	خ ل د	N	STEM	STEM|POS:N|ACT|PCPL|LEM:xa`lid|ROOT:xld|MP|ACC			ACT				
98	6	12	1	98:6:12:1	فِي	فِى			P	STEM	STEM|POS:P|LEM:fiY							
98	6	12	2	98:6:12:2	هَآ				PRON	SUFFIX	SUFFIX|PRON:3FS							
98	6	13	1	98:6:13:1	أُو۟لَٰٓئِكَ	أُولَٰٓئِك			DEM	STEM	STEM|POS:DEM|LEM:>uwla`^}ik|P							
98	6	14	1	98:6:14:1	هُمْ				PRON	STEM	STEM|POS:PRON|3MP							
98	6	15	1	98:6:15:1	شَرُّ	شَرّ	ش ر ر	ش ر ر	N	STEM	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|NOM							
98	6	16	1	98:6:16:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	6	16	2	98:6:16:2	بَرِيَّةِ	بَرِيَّة	ب ر ء	ب ر ء	N	STEM	STEM|POS:N|LEM:bariy~ap|ROOT:brA|F|GEN							
98	7	1	1	98:7:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
98	7	2	1	98:7:2:1	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP							
98	7	3	1	98:7:3:1	ءَامَنُ	ءَامَنَ	ء م ن	ء م ن	V	STEM	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP	PERF			IV			
98	7	3	2	98:7:3:2	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
