left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0163	P0322	0.600992	0.511733	0.537996	0.82413	1.0	0.7	0.666667	mutual_knn
P0085	P0726	0.600948	0.537835	0.555017	0.74666	0.9	0.777778	0.75	mutual_knn
P0591	P0791	0.60089	0.552168	0.576237	0.707312	0.8	0.777778	0.75	mutual_knn
P0336	P0698	0.600876	0.556137	0.586043	0.677218	0.777778	0.777778	0.75	mutual_knn
P0805	P1180	0.600781	0.523654	0.55054	0.724479	1.0	0.833333	0.8	mutual_knn
P1074	P1830	0.600709	0.564148	0.579107	0.608213	0.833333	0.8	0.75	mutual_knn
P0342	P0676	0.600559	0.524453	0.565972	0.764651	0.9	0.777778	0.75	mutual_knn
P0049	P0351	0.600492	0.543046	0.602542	0.563432	0.888889	0.777778	0.75	mutual_knn
P0012	P0127	0.600427	0.514327	0.536198	0.813102	1.0	0.7	0.666667	mutual_knn
P0177	P0449	0.600393	0.532639	0.550161	0.681494	1.0	0.777778	0.75	mutual_knn
P1704	P2359	0.600372	0.506609	0.579892	0.861026	0.833333	0.8	0.75	mutual_knn
P0314	P0517	0.600336	0.543108	0.601624	0.564796	0.888889	0.777778	0.75	mutual_knn
P0302	P0531	0.600223	0.519104	0.543915	0.76256	1.0	0.777778	0.75	mutual_knn
P0480	P0619	0.600211	0.53395	0.577568	0.702845	0.875	0.777778	0.75	mutual_knn
