left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C040	C383	0.357537	0.302164	0.249423	0.37645	0.939834	0.445127	0.473464	mutual_knn
C342	C395	0.357019	0.250698	0.283792	0.49993	0.965394	0.456916	0.527439	mutual_knn
C074	C154	0.356917	0.313894	0.287352	0.186242	0.951405	0.485971	0.532916	mutual_knn
C544	C640	0.356583	0.33238	0.290416	0.142018	0.89066	0.460451	0.531814	mutual_knn
C138	C149	0.35646	0.308825	0.268432	0.282493	0.932684	0.446528	0.515751	mutual_knn
C400	C495	0.356452	0.264036	0.237177	0.566607	0.966206	0.394183	0.448297	mutual_knn
C072	C506	0.356396	0.255478	0.332038	0.415029	0.875428	0.515982	0.42997	mutual_knn
C120	C564	0.35638	0.323108	0.247171	0.280506	0.926236	0.444539	0.558729	mutual_knn
C391	C606	0.356234	0.302748	0.288364	0.361313	0.822192	0.457289	0.523473	mutual_knn
C397	C605	0.356207	0.286434	0.227385	0.451224	0.996527	0.430638	0.477706	mutual_knn
C144	C162	0.356028	0.268255	0.293017	0.396716	0.943242	0.460494	0.456688	mutual_knn
C012	C151	0.356003	0.208983	0.290882	0.648625	0.993845	0.461783	0.430719	mutual_knn
C218	C254	0.355918	0.242669	0.285523	0.523827	0.965436	0.456993	0.508957	mutual_knn
C178	C522	0.355909	0.261913	0.308071	0.434779	0.890536	0.549491	0.678566	mutual_knn
C109	C470	0.355787	0.278439	0.284321	0.348121	0.96459	0.44354	0.541367	mutual_knn
C162	C228	0.355574	0.27489	0.332003	0.278013	0.907265	0.499126	0.447146	mutual_knn
C272	C584	0.355563	0.290607	0.325217	0.233756	0.893188	0.528214	0.657735	mutual_knn
C240	C427	0.355385	0.291299	0.265578	0.387675	0.91295	0.430337	0.543248	mutual_knn
C208	C358	0.355378	0.283199	0.32023	0.388201	0.788893	0.510526	0.443289	mutual_knn
C032	C118	0.355332	0.259641	0.307541	0.386502	0.945992	0.564626	0.611046	mutual_knn
C430	C536	0.355265	0.290419	0.292142	0.426004	0.798128	0.469147	0.513019	mutual_knn
C236	C358	0.35516	0.261606	0.289367	0.409094	0.966379	0.497066	0.49133	mutual_knn
C370	C434	0.354927	0.28054	0.352534	0.198624	0.890345	0.531801	0.446414	mutual_knn
C247	C253	0.354863	0.308254	0.268792	0.281644	0.919345	0.472535	0.47326	mutual_knn
C572	C594	0.35471	0.185794	0.381938	0.529194	0.943119	0.585729	0.357378	mutual_knn
C126	C306	0.354392	0.338203	0.250052	0.216326	0.886421	0.433303	0.556292	mutual_knn
C119	C173	0.354121	0.278545	0.251732	0.440098	0.953193	0.461167	0.523181	mutual_knn
C310	C339	0.354113	0.261113	0.304642	0.368528	0.953109	0.470217	0.435433	mutual_knn
C376	C381	0.354001	0.26552	0.314848	0.364172	0.903696	0.487362	0.499973	mutual_knn
C089	C523	0.353824	0.337939	0.271847	0.256974	0.776028	0.441837	0.533992	mutual_knn
C289	C300	0.353785	0.307569	0.227785	0.338159	0.978492	0.380584	0.497108	mutual_knn
C059	C094	0.353575	0.261907	0.279939	0.403214	0.983182	0.456912	0.478051	mutual_knn
C418	C649	0.353494	0.310022	0.286042	0.28982	0.836886	0.460234	0.514155	mutual_knn
C020	C107	0.353331	0.282876	0.278681	0.331221	0.951662	0.453866	0.450536	mutual_knn
C211	C328	0.352979	0.316924	0.301719	0.167003	0.873016	0.470493	0.4926	mutual_knn
C138	C305	0.352925	0.273678	0.316794	0.281164	0.929318	0.517707	0.506059	mutual_knn
C323	C390	0.352742	0.254007	0.306173	0.402938	0.93593	0.472354	0.438678	mutual_knn
C266	C669	0.352718	0.302669	0.280859	0.294547	0.876717	0.449544	0.545986	mutual_knn
C110	C494	0.352652	0.265024	0.288129	0.412053	0.924962	0.470127	0.419648	mutual_knn
C320	C343	0.352102	0.232909	0.32558	0.410543	0.969192	0.503166	0.413325	mutual_knn
C216	C534	0.351932	0.277248	0.256585	0.398296	0.965024	0.426251	0.507202	mutual_knn
C199	C257	0.351899	0.289593	0.254812	0.334764	0.971825	0.423442	0.542139	mutual_knn
C144	C324	0.351871	0.284334	0.262935	0.318484	0.989745	0.42335	0.581873	mutual_knn
C364	C425	0.351826	0.256463	0.34882	0.253226	0.936262	0.559546	0.451177	mutual_knn
C024	C029	0.351655	0.328537	0.23129	0.295463	0.884538	0.497692	0.571972	mutual_knn
C230	C534	0.351484	0.256407	0.26823	0.460957	0.96716	0.444741	0.514773	mutual_knn
C222	C469	0.351444	0.323683	0.240277	0.256822	0.918376	0.455947	0.602317	mutual_knn
C099	C297	0.351391	0.331328	0.263386	0.234548	0.832563	0.426638	0.600698	mutual_knn
C196	C468	0.351238	0.26951	0.326463	0.249619	0.935817	0.495467	0.542253	mutual_knn
C170	C343	0.350909	0.234705	0.320865	0.400088	0.97288	0.493594	0.405284	mutual_knn
C035	C171	0.350608	0.281641	0.273306	0.316155	0.9618	0.430319	0.452149	mutual_knn
C090	C408	0.35034	0.237094	0.261008	0.561614	0.973298	0.422317	0.394434	mutual_knn
C077	C138	0.350132	0.282027	0.311302	0.220444	0.936836	0.491227	0.447347	mutual_knn
C119	C304	0.350093	0.262998	0.266123	0.428587	0.95898	0.461167	0.523181	mutual_knn
C176	C277	0.350048	0.261738	0.265689	0.431385	0.963343	0.431359	0.442388	mutual_knn
C158	C169	0.349855	0.28149	0.266172	0.331244	0.961341	0.44651	0.51397	mutual_knn
C417	C494	0.349668	0.267309	0.271665	0.462852	0.882291	0.481136	0.473355	mutual_knn
C113	C132	0.349584	0.262937	0.256255	0.446913	0.965475	0.414502	0.507319	mutual_knn
C133	C255	0.349466	0.270421	0.331913	0.326093	0.820724	0.512102	0.458963	mutual_knn
C243	C396	0.349365	0.295674	0.25466	0.332457	0.918847	0.40848	0.524495	mutual_knn
C053	C404	0.349256	0.286891	0.269309	0.322975	0.927201	0.482917	0.605035	mutual_knn
C560	C593	0.349251	0.280012	0.270377	0.317913	0.963406	0.444606	0.46862	mutual_knn
C418	C467	0.349227	0.331744	0.271927	0.256228	0.761546	0.462808	0.569166	mutual_knn
C231	C245	0.349225	0.241305	0.291786	0.454397	0.955967	0.521182	0.453389	mutual_knn
C059	C484	0.349106	0.234153	0.30568	0.421258	0.981995	0.480121	0.408068	mutual_knn
C355	C550	0.348604	0.283026	0.286677	0.297738	0.913139	0.468233	0.446098	mutual_knn
C217	C228	0.348303	0.27671	0.282729	0.372979	0.87831	0.446259	0.45898	mutual_knn
C229	C484	0.348288	0.238913	0.292884	0.427672	0.981995	0.469621	0.441317	mutual_knn
C158	C187	0.348125	0.270328	0.256154	0.418164	0.94299	0.435472	0.495356	mutual_knn
C192	C231	0.348007	0.306888	0.271534	0.274674	0.856349	0.436079	0.5128	mutual_knn
C120	C143	0.347816	0.279537	0.245659	0.37369	0.969806	0.452443	0.501071	mutual_knn
C381	C440	0.347813	0.247397	0.292892	0.430877	0.931589	0.453223	0.457162	mutual_knn
C227	C551	0.347775	0.296186	0.254059	0.275717	0.958927	0.443939	0.523265	mutual_knn
C385	C485	0.347739	0.250171	0.232457	0.558947	0.970216	0.415683	0.42147	mutual_knn
C271	C298	0.347637	0.237321	0.302599	0.420097	0.961866	0.520609	0.463261	mutual_knn
C121	C323	0.347497	0.26164	0.283438	0.344324	0.972134	0.442264	0.433132	mutual_knn
C212	C463	0.347487	0.266492	0.334237	0.288017	0.851684	0.542856	0.426577	mutual_knn
C043	C095	0.347457	0.294607	0.266478	0.270044	0.932059	0.426503	0.495408	mutual_knn
C344	C385	0.347396	0.275721	0.270946	0.295812	0.986711	0.430765	0.442716	mutual_knn
C097	C515	0.347392	0.324431	0.255038	0.198665	0.887982	0.484024	0.515745	mutual_knn
C161	C397	0.347349	0.236688	0.271554	0.478865	0.996527	0.444231	0.475303	mutual_knn
C220	C227	0.34668	0.279286	0.247166	0.375879	0.952993	0.433364	0.516565	mutual_knn
C210	C287	0.346442	0.253297	0.253036	0.490447	0.948373	0.417923	0.508243	mutual_knn
C104	C239	0.346139	0.30626	0.26774	0.198174	0.928701	0.47939	0.526586	mutual_knn
C467	C649	0.345609	0.307338	0.312924	0.182075	0.798549	0.497984	0.492677	mutual_knn
C077	C307	0.345184	0.286994	0.280594	0.23748	0.937614	0.448982	0.486883	mutual_knn
C494	C521	0.345145	0.293595	0.283051	0.271143	0.863177	0.452645	0.464018	mutual_knn
